346.27142333984375 348.1401062011719,205.53250122070312 566.4786987304688
270.34259033203125 371.2406921386719,189.52003479003906 510.77581787109375
194.714111328125 400.47802734375,168.78514099121094 453.2071533203125
369.2149963378906 447.1071472167969,131.69454956054688 579.2334594726562
229.14129638671875 397.90625,170.311767578125 479.2553405761719
322.7431335449219 439.4947509765625,137.9597625732422 545.7608642578125
314.8827209472656 331.0154113769531,242.80174255371094 567.0086059570312
393.1106262207031 462.38189697265625,119.63877868652344 596.2047729492188
408.64813232421875 262.56103515625,264.8822021484375 612.1732788085938
299.10308837890625 302.7554931640625,238.9381561279297 534.041015625
330.91162109375 400.962158203125,166.79403686523438 553.1771240234375
325.87481689453125 279.9704895019531,254.58474731445312 553.8435668945312
395.9738464355469 373.7602233886719,186.03451538085938 600.9867553710938
229.98475646972656 360.4352722167969,198.10191345214844 481.63995361328125
366.5831298828125 405.6390380859375,162.7276611328125 578.6366577148438
319.32586669921875 416.0436096191406,155.98870849609375 544.054443359375
242.89805603027344 158.9277801513672,500.895751953125 184.76431274414062
199.4771270751953 500.4756164550781,92.35076141357422 451.3934020996094
274.6561279296875 331.2109375,218.86802673339844 515.5221557617188
593.872802734375 596.8141479492188,603.0491943359375 668.9134521484375
325.87481689453125 279.9704895019531,254.58474731445312 553.8435668945312
418.6715393066406 485.85064697265625,100.87554168701172 614.671630859375
243.0680389404297 398.0223083496094,170.02984619140625 489.3204040527344
209.05194091796875 493.5520935058594,97.84072875976562 459.28302001953125
416.85931396484375 378.8575134277344,181.84254455566406 615.4800415039062
409.7424621582031 397.4207458496094,168.2621307373047 609.8505859375
215.93722534179688 528.7093505859375,70.45198822021484 462.4693298339844
363.7088623046875 307.29486083984375,234.2040557861328 579.6258544921875
259.8241882324219 435.1219482421875,142.01116943359375 500.01922607421875
336.9915466308594 525.8211059570312,71.1512451171875 552.6484985351562
440.923828125 257.498291015625,244.7610626220703 632.4503784179688
180.052978515625 555.131591796875,138.3925323486328 673.8301391601562
444.1869201660156 356.1430358886719,197.9610137939453 635.1942749023438
421.66693115234375 292.1795654296875,244.12118530273438 620.5093383789062
308.8858947753906 302.34356689453125,238.91746520996094 540.7808227539062
345.28955078125 296.1923522949219,242.80174255371094 567.0086059570312
301.1211242675781 269.9875793457031,262.1090393066406 536.7843017578125
189.3425750732422 381.095703125,183.50852966308594 450.41510009765625
500.1211853027344 765.5133666992188,170.90103149414062 674.5008544921875
282.9520263671875 297.2420959472656,243.150146484375 522.8541259765625
238.14144897460938 445.85955810546875,134.33828735351562 483.52642822265625
425.81591796875 291.0260314941406,244.63919067382812 623.5161743164062
283.41876220703125 306.9374694824219,236.1523895263672 522.791015625
309.32177734375 270.12127685546875,262.0269775390625 542.634033203125
410.5566101074219 292.32110595703125,244.17132568359375 612.8502807617188
248.9067840576172 436.4626159667969,141.18577575683594 491.9653625488281
344.92724609375 525.3856811523438,71.31623840332031 558.6644287109375
353.0635681152344 250.14968872070312,274.8481750488281 573.8834228515625
396.5879211425781 289.81396484375,246.26348876953125 603.1738891601562
401.931884765625 258.1213684082031,268.2947998046875 607.7083129882812
262.63983154296875 488.3993835449219,101.70699310302734 499.9779968261719
330.624267578125 475.7254943847656,110.36421966552734 549.9537353515625
